Company Name,Membership Type,Status,Join Date,Business Type,City
Kowalski Floor Covering Inc. dba Kelowna Floors,Industry,Active,2021-09-21,Trade Contractor,Kelowna
KPMG LLP,Professional,Active,2022-12-09,Professional,Kelowna
Laing Roofing Ltd.,Industry,Active,1987-12-01,Trade Contractor,Kelowna
Laing Roofing Vernon Ltd. *BR,Industry,Active,2025-01-24,Trade Contractor,Vernon
Landmark Solutions,Industry,Active,2019-09-13,General Contractor,Salmon Arm
Laser Glass Railing,Manufacturer & Supplier,Active,2024-05-14,Manufacturer & Supplier,Kelowna
Latina Landscapes & Maintenance,Industry,Active,2013-09-03,Trade Contractor,Kamloops
Ledcor Construction Limited,Industry,Active,1997-10-23,General Contractor,Kelowna
Lighthouse Woodworking Ltd.,Industry,Active,2024-08-28,Trade Contractor,Kelowna
Littco Enterprises Ltd. Drywall and Insulation,Industry,Active,2001-09-18,Trade Contractor,Kelowna
Live Edge Okanagan Builders,Industry,Active,2024-11-06,General Contractor,Kelowna
Lynx Brand Fence Products (2004) Inc.,Manufacturer & Supplier,Active,1980-06-01,Manufacturer & Supplier,Kelowna
Lynx Specialty Services,Industry,Active,2024-11-13,General Contractor,Surrey
Maddocks Construction Ltd.,Industry,Active,1970-04-15,General Contractor,Armstrong
Madge Custom Roofing Ltd.,Industry,Active,2007-10-05,Trade Contractor,Kelowna
Madison Avenue Clement GP Inc.,Industry,Active,2021-04-14,General Contractor,Calgary
Maloney Contractors Ltd.,Industry,Active,1994-09-01,General Contractor,Kelowna
Maple Reinders Constructors Ltd.,Industry,Active,1997-01-16,General Contractor,Kelowna
Mark's Commercial,Associate,Active,2022-08-08,Ancillary Services,Victoria
Martech Electrical Systems Ltd.,Industry,Active,1986-06-01,Trade Contractor,Castlegar
Marvelous Ideas Contracting Ltd.,Industry,Active,2016-02-15,Trade Contractor,West Kelowna
Mazzei Electric Ltd.,Industry,Active,2021-06-28,Trade Contractor,Kelowna
McMillan LLP,Professional,Active,2025-01-01,Professional,Vancouver
Menard Canada Inc,Industry,Active,2022-11-16,Trade Contractor,Vancouver
Metric Civil Contractors Ltd.,Industry,Active,2022-06-28,Civil Contractor,Chilliwack
Mills Basics,Associate,Active,2012-08-20,Ancillary Services,Vancouver
Mission Group,Industry,Active,2014-10-20,General Contractor,Kelowna
MJB Wall & Ceiling Ltd,Industry,Active,2004-02-13,Trade Contractor,Kelowna
MMCD Association,Associate,Active,2012-07-18,Ancillary Services,Vancouver
MNP LLP,Professional,Active,2013-09-09,Professional,Kelowna
Modern Paint & Floors,Industry,Active,1971-05-01,Trade Contractor,Kelowna
Moen Inc.,Manufacturer & Supplier,Active,2014-02-28,Manufacturer & Supplier,Peachland
Mountain Home Services,Industry,Active,2024-11-04,Trade Contractor,Kelowna
MQN Architecture & Interior Design,Professional,Active,1993-03-01,Professional,Vernon
N & H Contracting Ltd.,Industry,Active,2018-03-01,General Contractor,Kamloops
Nagle Creative Carpets Ltd.  -  DBA United Floors,Industry,Active,2009-10-05,Trade Contractor,Kamloops
Nailed It Drywall,Industry,Active,2024-04-11,Trade Contractor,Kelowna
NewGround Canada,Industry,Active,2023-11-24,General Contractor,Waterloo
Nielsen Roofing & Sheet Metal Ltd.,Industry,Active,1969-07-01,Trade Contractor,Penticton
Noble British Columbia,Manufacturer & Supplier,Active,2024-03-11,Manufacturer & Supplier,Kelowna
Norelco Cabinets Ltd,Manufacturer & Supplier,Active,2004-11-22,Manufacturer & Supplier,Kelowna
Norsteel Building Systems Ltd.,Industry,Active,2013-05-09,Trade Contractor,Kelowna
North Mountain Construction,Industry,Active,2019-11-04,Trade Contractor,Nelson
Northbridge Insurance,Industry,Active,2017-09-15,Insurance & Bonding,Vancouver
Nu Vue Exteriors Ltd.,Industry,Active,2019-10-22,Trade Contractor,Kamloops
"Nucor Rebar Fabrication, a Division of Nucor Steel ULC",Industry,Active,2006-07-11,Trade Contractor,Kelowna
OK Excavating div. of Green Leaf Enterprises Ltd.,Industry,Active,2001-03-02,General Contractor,Kelowna
Okanagan College,Public Owner/Agency,Active,2024-02-21,Public Owner/Agency,Kelowna
Okanagan Fire Protection Services Ltd.,Industry,Active,1993-04-01,Trade Contractor,Kelowna
Okanagan Insulation,Industry,Active,2018-01-22,Trade Contractor,Kelowna 
Okanagan Training & Development Council,Associate,Active,2022-09-06,Ancillary Services,Kelowna
Olympic Roofing Ltd.,Industry,Active,2003-03-27,Trade Contractor,Coquitlam
Omega Communications Ltd.,Associate,Active,2023-02-23,Ancillary Services,Kelowna
Onsite Civil Excavating Ltd,Industry,Active,2023-10-11,Civil Contractor,Kelowna
ORCA STEEL & ERECTING LTD,Industry,Active,2024-08-26,Trade Contractor,Spallumcheen
P236 Enterprises Ltd. DBA Advantage Insulation,Industry,Active,2015-05-05,Trade Contractor,Kamloops
P5 Millwork & Design,Industry,Active,2020-08-06,Trade Contractor,Spallumcheen
Pac West Contracting,Industry,Active,2019-06-17,General Contractor,Kelowna
Pagnotta Industries,Industry,Active,2024-06-13,Trade Contractor,Edmonton
Paradigm Building Solutions Ltd,Industry,Active,2021-09-24,Trade Contractor,Louis Creek
Parke Pacific Projects Ltd.,Industry,Active,2023-01-17,General Contractor,Kelowna
Pavement Solutions Inc.,Industry,Active,2023-09-25,Trade Contractor,Sorrento
PBX Engineering,Professional,Active,2019-10-31,Professional,Kelowna
PCL Constructors Westcoast Inc. - Kelowna,Industry,Active,2000-06-06,General Contractor,Kelowna
Peoples Insulation,Industry,Active,2023-11-01,Trade Contractor,Kelowna
Petro-Canada,Associate,Active,2024-03-12,Ancillary Services,
Petrocom Construction Ltd,Industry,Active,2009-03-31,General Contractor,Edmonton
Phil Long Construction Services Ltd.,Professional,Active,2018-05-02,Professional,West Kelowna
Phoenix Stretch Ceilings,Industry,Active,2022-12-23,Trade Contractor,Kelowna
Pihl Law Corporation,Professional,Active,2011-08-03,Professional,Kelowna
Plainsman Companies,Industry,Active,2015-01-09,General Contractor,Kamloops
Plan B Contractors Inc.,Industry,Active,2017-02-17,General Contractor,Kelowna
PME Inc.,Industry,Active,2022-06-06,General Contractor,Merritt
Powder Ventures Excavating Ltd.,Industry,Active,2015-06-01,Trade Contractor,Sun Peaks
Precision Cutting & Coring,Industry,Active,2021-03-01,Trade Contractor,Kelowna
PRO Crete Ltd.,Industry,Active,2017-04-24,Trade Contractor,Kelowna
Prologic Construction Ltd,Industry,Active,2024-03-08,General Contractor,West Kelowna
Pronto Enterprises Ltd.,Industry,Active,1986-01-01,Trade Contractor,Kamloops
Pushor Mitchell,Professional,Active,2012-03-16,Professional,Kelowna
Quantus Electric Ltd,Industry,Active,2011-07-18,Trade Contractor,Kelowna
R & A Engineering Ltd.,Professional,Active,2023-02-24,Professional,Vernon
R & L Construction Ltd.,Industry,Active,2023-05-31,Trade Contractor,Kelowna
R1310 Holdings Ltd. dba KM Contracting,Industry,Active,2020-02-24,Trade Contractor,Kamloops
R355 Enterprises Ltd.,Industry,Active,1999-03-25,General Contractor,Kelowna
Radian Mechanical Inc.,Industry,Active,2013-10-04,Trade Contractor,Kelowna
Ramco Floor & Tile,Industry,Active,2009-01-22,Trade Contractor,Kelowna
RCABC Guarantee Corp.,Associate,Active,2018-12-12,Ancillary Services,Langley
Redline Contracting Ltd.,Industry,Active,2016-03-31,General Contractor,Kelowna
Refrigerative Supply Ltd.,Manufacturer & Supplier,Active,2000-03-17,Manufacturer & Supplier,Kelowna
Reinbold Engineering,Professional,Active,2023-07-26,Professional,Kelowna
Rempel Builders,Industry,Active,2024-12-04,General Contractor,Kelowna
Reval Construction Inc.,Industry,Active,2020-10-02,General Contractor,Kelowna
Revay  and Associates Limited,Professional,Active,2023-08-10,Professional,Vancouver
Revelstoke Peak Construction,Industry,Active,2023-11-20,General Contractor,Revelstoke
Rimkus Consulting Group Canada Inc.,Professional,Active,2023-04-28,Professional,Richmond
Rivermist Excavating Ltd.,Industry,Active,2018-01-17,Civil Contractor,Kamloops
RJC Engineers,Professional,Active,2015-10-26,Professional,Kelowna
Robinson Masonry Ltd.,Industry,Active,2018-05-30,Trade Contractor,Kamloops
Rock Solid Industries Inc,Industry,Active,2024-01-04,General Contractor,Merritt
Rockhard Excavating,Industry,Active,2018-05-30,Trade Contractor,Kelowna
Rooham Electric Ltd.,Industry,Active,2024-02-20,Trade Contractor,Kamloops
Rutland Glass (1994) Ltd.,Industry,Active,1991-07-01,Trade Contractor,Kelowna
S.C. Restorations Ltd.,Industry,Active,2024-05-14,Trade Contractor,Kelowna
Sahuri & Associates Architecture Inc.,Professional,Active,2023-10-12,Professional,Kelowna
Sandale Utility Products,Manufacturer & Supplier,Active,2015-04-07,Manufacturer & Supplier,Surrey
Sawchuk Developments Co. Ltd.,Industry,Active,2002-03-13,General Contractor,Kelowna
Scott Builders Inc.,Industry,Active,2019-01-15,General Contractor,Invermere
Scuka Enterprises Ltd.,Industry,Active,1991-02-01,General Contractor,Kelowna
Secure-Rite Mobile Storage Inc.,Manufacturer & Supplier,Active,2007-02-19,Manufacturer & Supplier,Kelowna
Semko Contracting Ltd.,Industry,Active,2020-06-01,General Contractor,Vernon
Sercon Refrigeration Ltd.,Industry,Active,2020-06-03,Trade Contractor,Edmonton
Sierra Landscaping Ltd.,Industry,Active,1994-11-01,Trade Contractor,Winfield
Silverado Industries Inc.,Industry,Active,2017-08-10,General Contractor,Cranbrook
Skwlax Resource Management Ltd.,Industry,Active,2022-08-29,General Contractor,Chase
Slade Contracting Ltd.,Industry,Active,2025-02-26,Trade Contractor,Kelowna
SNFLWR Investment Corporation,Industry,Active,2024-07-08,General Contractor,Kelowna
Sonoma Capital Corp.,Professional,Active,2025-02-03,Professional,
Soprema,Manufacturer & Supplier,Active,2022-04-04,Manufacturer & Supplier,Surrey
SOS Labour Leasing,Associate,Active,2021-03-24,Ancillary Services,Kelowna
Source Electrical Services,Industry,Active,2014-08-29,Trade Contractor,West Kelowna
Southgate Electric Ltd.,Industry,Active,1987-10-01,Trade Contractor,Kamloops
Southwest Glass Ltd,Industry,Active,2001-06-30,Trade Contractor,Kamloops
Spanmaster Structures Ltd,Industry,Active,2021-12-20,Trade Contractor,Tappen
Spark Industries LTD,Industry,Active,2022-10-03,Trade Contractor,Kamloops
Specialty Machine Works Ltd.,Industry,Active,2008-11-19,Trade Contractor,Penticton
Specialty Surfaces Inc,Industry,Active,2020-12-30,Trade Contractor,Vernon
STBR Consulting Ltd.,Industry,Active,2009-02-09,General Contractor,Kelowna
Stemmer Enterprises Ltd,Industry,Active,2009-05-26,General Contractor,Salmon Arm
Stober Group,Industry,Active,2024-03-12,General Contractor,Kelowna
Strathcona Mechanical Ltd.,Industry,Active,1991-09-01,Trade Contractor,Kelowna
Streamline Enterprises Inc.,Industry,Active,2019-12-19,General Contractor,Kamloops
Stretch Construction Ltd.,Industry,Active,2020-04-15,General Contractor,Lacombe County
Sun Ridge Contracting Ltd.,Industry,Active,2018-09-11,Civil Contractor,Kamloops
Sun Valley Painting & Decorating  Corp.,Industry,Active,1998-02-10,Trade Contractor,Kamloops
Sunbelt Rentals of Canada,Manufacturer & Supplier,Active,1995-03-09,Manufacturer & Supplier,Kelowna
Sunco Drywall Ltd.,Industry,Active,1989-12-01,Trade Contractor,Kelowna
Symmetry Lighting,Associate,Active,2023-05-09,Ancillary Services,Vancouver
Systematic Mill Installations Ltd.,Industry,Active,2008-05-07,Trade Contractor,Kelowna
T & A Rock Works,Industry,Active,2024-03-06,Trade Contractor,Kelowna
TCI Lift Elevators and Escalators Ltd.,Industry,Active,2019-01-15,Trade Contractor,Kamloops
Team Construction Management (1981) Ltd.,Industry,Active,1996-07-30,General Contractor,Kelowna
Team Foundation Systems Ltd.,Industry,Active,2013-10-08,Trade Contractor,Kelowna
Terracom Systems Ltd.,Manufacturer & Supplier,Active,2011-10-17,Manufacturer & Supplier,West Kelowna
The Tunneling Company,Industry,Active,2017-06-07,Trade Contractor,Kamloops
The Universal Group,,Active,2025-02-18,Allied Services - Eligible,Vernon
Thermo Design Insulation Ltd.,Industry,Active,1997-07-21,Trade Contractor,West Kelowna
TK Elevator (Canada) Limited - Kelowna,Industry,Active,2019-12-05,Trade Contractor,Kelowna
TKI Construction Ltd.,Industry,Active,2010-03-16,General Contractor,Kelowna
Top 40 Woodworks Ltd.,Industry,Active,1994-02-14,Trade Contractor,Kamloops
Total Power Ltd.,Manufacturer & Supplier,Active,2019-03-11,Manufacturer & Supplier,Kamloops
Tower Engineering Group,Professional,Active,2024-02-22,Professional,Kelowna
Traine Construction & Development Ltd.,Industry,Active,2018-08-20,Private Owner/Developer,Kelowna
Trainor Mechanical Contractors Ltd.,Industry,Active,2012-04-17,Trade Contractor,Nelson
Trak International Green Energy Resources Inc,Professional,Active,2024-03-18,Professional,Kelowna
Trane - Kelowna,Manufacturer & Supplier,Active,2000-08-22,Manufacturer & Supplier,Kelowna
Tri-Kon Precast Concrete Products,Manufacturer & Supplier,Active,2014-09-12,Manufacturer & Supplier,Cranbrook
Tristar Environmental Services Ltd.,Industry,Active,2025-01-21,General Contractor,Spallumcheen
Troika Management Corp.,Industry,Active,2006-12-20,General Contractor,Kelowna
TRS Building Envelope Corp.[TOMTAR Roofing & Sheet Metal Ltd],Industry,Active,1982-10-01,Trade Contractor,Kelowna
True Construction Ltd,Industry,Active,2009-01-05,General Contractor,Kamloops
TRUE Consulting - Kamloops,Professional,Active,2002-05-10,Professional,Kamloops
TVE Industrial Services Ltd.,Industry,Active,2012-01-31,Trade Contractor,Kamloops
Twin River Plumbing & Heating,Industry,Active,1984-08-01,Trade Contractor,Kamloops
Twin Rivers Controls Ltd.,Industry,Active,2006-10-03,Trade Contractor,Castlegar
Twincon Enterprises Ltd.,Industry,Active,2020-04-21,General Contractor,Penticton
UDI - Urban Development Institute,Associate,Active,,Ancillary Services,Kelowna
Underhill Geomatics Ltd,Industry,Active,2006-10-03,Trade Contractor,Kamloops
United Landscapes,Industry,Active,2013-06-27,Trade Contractor,Kelowna
Urban Systems Ltd. - Kamloops ,Professional,Active,1999-09-14,Professional,Kamloops
Urban Systems Ltd. - Kelowna,Professional,Active,1999-07-21,Professional,Kelowna
Utilex Contracting,Industry,Active,2019-11-18,General Contractor,Coldstream
Valley Plumbing  and Heating,Industry,Active,1992-09-01,Trade Contractor,Kelowna
Vanmar Constructors Inc.,Industry,Active,2023-07-17,General Contractor,Abbotsford
Vector Projects Group Ltd,Industry,Active,2012-02-16,General Contractor,Kelowna
Venture Mechanical Systems Ltd.,Industry,Active,1999-09-09,Trade Contractor,Castlegar
Victaulic,Manufacturer & Supplier,Active,2018-06-26,Manufacturer & Supplier,Brampton
Vines & Rebar Construction Management Ltd.,Industry,Active,2024-08-19,General Contractor,Kelowna
Warnaar Steel Tech Ltd.,Industry,Active,1989-07-01,Trade Contractor,Kelowna
Waste Connections of Canada,Manufacturer & Supplier,Active,2014-10-01,Manufacturer & Supplier,Kelowna
Waystar Construction Corporation,Industry,Active,2024-10-18,General Contractor,Kelowna
West Bay Construction Co Ltd.,Industry,Active,2022-02-16,General Contractor,Lake Country
West Kootenay Mechanical 2001 Ltd.,Industry,Active,1980-09-01,Trade Contractor,Trail
Westburne Electric - Kelowna,Manufacturer & Supplier,Active,2001-10-01,Manufacturer & Supplier,Kelowna
Western Canadian Steel,Industry,Active,2023-06-21,Trade Contractor,West Kelowna
Western Noise Control (2015) Ltd.,Manufacturer & Supplier,Active,2016-07-13,Manufacturer & Supplier,Edmonton
Western Roofing Master Roofers - Cranbrook *BR,Industry,Active,2012-07-31,Trade Contractor,Cranbrook
Western Roofing Master Roofers Ltd.,Industry,Active,1980-06-01,Trade Contractor,Kamloops
Western Surety Company,Manufacturer & Supplier,Active,2022-12-15,Manufacturer & Supplier,Regina
Westhills Aggregates Limited Partnership,Industry,Active,2012-02-02,Trade Contractor,Penticton
Westway Plumbing & Heating (2011) Inc.,Industry,Active,2011-08-18,Trade Contractor,Kamloops
Westwood Electric,Industry,Active,2023-03-01,Trade Contractor,Vernon
Westwood Fine Cabinetry,Manufacturer & Supplier,Active,2023-05-08,Manufacturer & Supplier,Kelowna
White Cap Supply Canada Inc,Manufacturer & Supplier,Active,1994-02-21,Manufacturer & Supplier,Kelowna
Wilden Construction Corp,Industry,Active,2025-02-11,General Contractor,Kelowna
Wildstone Construction & Engineering Ltd.,Industry,Active,2011-07-08,General Contractor,Penticton
Williams Machinery,Manufacturer & Supplier,Active,2019-06-03,Manufacturer & Supplier,Kelowna
WillScot,Manufacturer & Supplier,Active,2022-06-01,Manufacturer & Supplier,Abbotsford
Wilson M. Beck Insurance Services (Kelowna) Inc.,Industry,Active,1997-09-18,Insurance & Bonding,Kelowna
Wolf Exteriors Ltd.,Industry,Active,2019-11-18,Trade Contractor,Salmon Arm
Yucwmenlucwu (Caretakers of the Land) LLP,Industry,Active,2023-06-22,Trade Contractor,Enderby
Zap Welding,Industry,Active,2005-03-21,Trade Contractor,Nelson
Acera Insurance - Kamloops  *BR,Industry,Expired,2008-05-01,Insurance & Bonding,Kamloops
Cardinal Projects Inc.,Industry,Expired,2024-01-04,Trade Contractor,Kelowna
Centerfire Contracting Ltd.,Industry,Expired,2024-01-29,General Contractor,Anzac
Chapman Sand & Gravel Ltd.,Industry,Expired,2011-01-05,General Contractor,Vernon
Corporate Business Solutions Ltd. dba Indigo Blinds & Shades,Industry,Expired,2024-01-24,Trade Contractor,Kelowna
DesJardins Contracting Ltd.,Industry,Expired,2007-02-05,General Contractor,Kelowna
DK Railings Ltd.,Industry,Expired,2024-01-31,Trade Contractor,Kelowna
Forward Law LLP,Professional,Expired,2024-01-17,Professional,Kamloops
Madrone Environmental Services Ltd.,Professional,Expired,2024-02-01,Professional,Vernon
McLean & Armstrong LLP,Professional,Expired,2020-01-29,Professional,West Vancouver
Midvalley Sheet Metal Ltd.,Industry,Expired,1994-06-23,Trade Contractor,Kelowna
Okanagan Urban Contractors,Industry,Expired,2023-01-25,General Contractor,West Kelowna
Pinchin Ltd. - Kelowna,Professional,Expired,2022-02-07,Professional,Kelowna
RAMtech HVAC Refrigeration and Controls,Industry,Expired,2024-02-01,General Contractor,Kelowna
RZX Construction Ltd,Industry,Expired,2024-01-24,General Contractor,Kelowna
TGC Consulting Ltd.,Manufacturer & Supplier,Expired,1994-02-01,Manufacturer & Supplier,Lake Country
The Woodshop Millwork & Joinery Inc.,Industry,Expired,2024-01-10,Trade Contractor,Salmon Arm
Think Space Architecture Planning Interior Design Ltd.,Professional,Expired,2015-08-07,Professional,Kelowna
Total BC Plumbing and Heating Ltd.,Industry,Expired,2023-11-16,Trade Contractor,West Kelowna
Ultimate Tradesmen,Associate,Expired,2024-01-08,Ancillary Services,Kelowna
Williams Engineering Canada Inc.,Professional,Expired,2019-01-15,Professional,Kelowna
Working Hands Renovators Inc,Industry,Expired,2021-11-17,General Contractor,Kelowna
